group_name,application_name,vm_name,tier,role,environment,criticality,suggested_target,migration_wave,technologies,technical_owner
grp-prod-tier2-call-center,call-center,vm-prod-call-center-web-02,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-web-03,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-web-04,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Customer Ops Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-contro-01,contro,citrix delivery controller,prod,tier-1,Azure VMware Solution,wave-3,Citrix Delivery Controller; Citrix Studio; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-contro-02,contro,citrix delivery controller,prod,tier-1,Azure VMware Solution,wave-3,Citrix Delivery Controller; Citrix Studio; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-db-01,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-db-02,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-licens-01,licens,license service,prod,tier-1,Azure VMware Solution,wave-3,Citrix License Server; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-storef-01,storef,citrix storefront,prod,tier-1,Azure VMware Solution,wave-2,Citrix StoreFront; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-storef-02,storef,citrix storefront,prod,tier-1,Azure VMware Solution,wave-2,Citrix StoreFront; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-01,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-02,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-03,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-04,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-05,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-06,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-07,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-08,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-09,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-10,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-11,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-12,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-13,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-14,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-15,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-16,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-17,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-18,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-19,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-20,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-21,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-22,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-23,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,End User Compute Team
grp-prod-tier1-citrix-vdi,citrix-vdi,vm-prod-citrix-vdi-worker-24,worker,worker / session host,prod,tier-1,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,End User Compute Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-api-01,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Red Hat Enterprise Linux 8,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-api-02,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Ubuntu Linux,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-api-03,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Red Hat Enterprise Linux 8,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-api-04,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Ubuntu Linux,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-db-01,db,database tier,prod,tier-2,Azure Database for PostgreSQL candidate,wave-3,PostgreSQL 14; Patroni; Ubuntu Linux,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-db-02,db,database tier,prod,tier-2,Azure Database for PostgreSQL candidate,wave-3,PostgreSQL 14; Patroni; Ubuntu Linux,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-web-01,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-web-02,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-web-03,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Claims It Team
grp-prod-tier2-claims-core,claims-core,vm-prod-claims-core-web-04,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Claims It Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-app-01,app,application tier,prod,tier-1,Azure VMware Solution,wave-3,Tomcat 9; Java 11; Microsoft Windows Server 2019,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-app-02,app,application tier,prod,tier-1,Azure VMware Solution,wave-3,Tomcat 9; Java 11; Red Hat Enterprise Linux 8,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-app-03,app,application tier,prod,tier-1,Azure VMware Solution,wave-3,Tomcat 9; Java 11; Microsoft Windows Server 2019,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-app-04,app,application tier,prod,tier-1,Azure VMware Solution,wave-3,Tomcat 9; Java 11; Red Hat Enterprise Linux 8,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-app-05,app,application tier,prod,tier-1,Azure VMware Solution,wave-3,Tomcat 9; Java 11; Microsoft Windows Server 2019,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-app-06,app,application tier,prod,tier-1,Azure VMware Solution,wave-3,Tomcat 9; Java 11; Red Hat Enterprise Linux 8,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-db-01,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-db-02,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-web-01,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-web-02,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-web-03,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-web-04,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-web-05,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Digital Commerce Team
grp-prod-tier1-commerce-java,commerce-java,vm-prod-commerce-java-web-06,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Digital Commerce Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-db-01,db,database tier,prod,tier-2,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-db-02,db,database tier,prod,tier-2,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-etl-01,etl,etl tier,prod,tier-2,Azure Virtual Machines,wave-3,Apache Airflow; Python 3.11; Rocky Linux 9,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-etl-02,etl,etl tier,prod,tier-2,Azure Virtual Machines,wave-3,Apache Airflow; Python 3.11; Rocky Linux 9,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-etl-03,etl,etl tier,prod,tier-2,Azure Virtual Machines,wave-3,Apache Airflow; Python 3.11; Rocky Linux 9,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-etl-04,etl,etl tier,prod,tier-2,Azure Virtual Machines,wave-3,Apache Airflow; Python 3.11; Rocky Linux 9,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-report-01,report,reporting tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-report-02,report,reporting tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-report-03,report,reporting tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Data Platform Team
grp-prod-tier2-data-warehouse,data-warehouse,vm-prod-data-warehouse-report-04,report,reporting tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Data Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-01,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-02,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-03,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-04,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-05,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-06,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-07,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-app-08,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-db-01,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-db-02,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-db-03,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-db-04,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-web-01,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-web-02,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-web-03,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Clinical Platform Team
grp-prod-tier1-ehr-core,ehr-core,vm-prod-ehr-core-web-04,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Clinical Platform Team
grp-prod-tier1-identity-services,identity-services,vm-prod-identity-services-db-01,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Security Engineering Team
grp-prod-tier1-identity-services,identity-services,vm-prod-identity-services-db-02,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Security Engineering Team
grp-prod-tier1-identity-services,identity-services,vm-prod-identity-services-idm-01,idm,identity service,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Security Engineering Team
grp-prod-tier1-identity-services,identity-services,vm-prod-identity-services-idm-02,idm,identity service,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Security Engineering Team
grp-prod-tier1-identity-services,identity-services,vm-prod-identity-services-idm-03,idm,identity service,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Security Engineering Team
grp-prod-tier1-identity-services,identity-services,vm-prod-identity-services-idm-04,idm,identity service,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Security Engineering Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-api-01,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Red Hat Enterprise Linux 8,Integration Platform Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-api-02,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Ubuntu Linux,Integration Platform Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-api-03,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Red Hat Enterprise Linux 8,Integration Platform Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-api-04,api,api tier,prod,tier-2,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Ubuntu Linux,Integration Platform Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-broker-01,broker,integration broker,prod,tier-2,Azure Virtual Machines,wave-3,Nginx; Python 3.11; Ubuntu Linux,Integration Platform Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-broker-02,broker,integration broker,prod,tier-2,Azure Virtual Machines,wave-3,Nginx; Python 3.11; Ubuntu Linux,Integration Platform Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-broker-03,broker,integration broker,prod,tier-2,Azure Virtual Machines,wave-3,Nginx; Python 3.11; Ubuntu Linux,Integration Platform Team
grp-prod-tier2-integration-bus,integration-bus,vm-prod-integration-bus-broker-04,broker,integration broker,prod,tier-2,Azure Virtual Machines,wave-3,Nginx; Python 3.11; Ubuntu Linux,Integration Platform Team
grp-prod-tier2-lab-systems,lab-systems,vm-prod-lab-systems-app-01,app,application tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Lab It Team
grp-prod-tier2-lab-systems,lab-systems,vm-prod-lab-systems-app-02,app,application tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Lab It Team
grp-prod-tier2-lab-systems,lab-systems,vm-prod-lab-systems-app-03,app,application tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Lab It Team
grp-prod-tier2-lab-systems,lab-systems,vm-prod-lab-systems-app-04,app,application tier,prod,tier-2,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Lab It Team
grp-prod-tier2-lab-systems,lab-systems,vm-prod-lab-systems-db-01,db,database tier,prod,tier-2,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Lab It Team
grp-prod-tier2-lab-systems,lab-systems,vm-prod-lab-systems-db-02,db,database tier,prod,tier-2,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Lab It Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-app-01,app,application tier,prod,tier-1,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-app-02,app,application tier,prod,tier-1,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-app-03,app,application tier,prod,tier-1,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-app-04,app,application tier,prod,tier-1,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-app-05,app,application tier,prod,tier-1,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-db-01,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-db-02,db,database tier,prod,tier-1,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-web-01,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-web-02,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-web-03,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-web-04,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Member Platform Team
grp-prod-tier1-member-dotnet,member-dotnet,vm-prod-member-dotnet-web-05,web,web host / ingress,prod,tier-1,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Member Platform Team
grp-prod-tier1-pacs-imaging,pacs-imaging,vm-prod-pacs-imaging-app-01,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Imaging Services Team
grp-prod-tier1-pacs-imaging,pacs-imaging,vm-prod-pacs-imaging-app-02,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2022,Imaging Services Team
